raw_venue,raw_city,match_count,sample_match_id,sample_date,proposed_canonical_venue,proposed_canonical_city,proposed_country,needs_review,notes
"Desert Springs Cricket Ground, Almeria",Almeria,41,592,2021-09-10,"Desert Springs Cricket Ground, Almeria","Palomares, Almeria",Spain,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
Grace Road,Leicester,41,8352,2017-07-21,"Grace Road, Leicester",Leicester,England,FALSE,
"Grand Prairie Stadium, Dallas",Dallas,41,1508,2024-06-01,Grand Prairie Stadium,Grand Prairie,USA,FALSE,punctuation collision — merged into canonical
Pallekele International Cricket Stadium,Kandy,41,245,2019-09-01,Pallekele International Cricket Stadium,Kandy,Sri Lanka,FALSE,
"Warner Park, Basseterre",St Kitts,41,124,2018-07-31,"Warner Park, Basseterre",Basseterre,Saint Kitts and Nevis,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
"County Ground, New Road",Worcester,40,8322,2017-07-07,New Road (Worcester),Worcester,England,FALSE,
Integrated Polytechnic Regional Centre,Kigali City,40,660,2021-10-16,Integrated Polytechnic Regional Centre,Kigali,Rwanda,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,40,1192,2023-03-08,"Mission Road Ground, Mong Kok",Mong Kok,Hong Kong,FALSE,
"Sawai Mansingh Stadium, Jaipur",Jaipur,40,613,2021-11-17,"Sawai Mansingh Stadium, Jaipur",Jaipur,India,FALSE,
St Lawrence Ground,Canterbury,40,4984,2012-06-26,"St Lawrence Ground, Canterbury",Canterbury,England,FALSE,
Sydney Showground Stadium,Sydney,40,3397,2020-02-21,Sydney Showground Stadium,Sydney,Australia,FALSE,
The Cooper Associates County Ground,Taunton,40,3254,2018-06-20,County Ground (Taunton),Taunton,England,FALSE,
"UKM-YSD Cricket Oval, Bangi",Bangi,40,964,2022-07-02,"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia,FALSE,country unknown — please fill; country filled via research (Malaysia)
Adelaide Oval,,39,3,2017-02-22,Adelaide Oval,Adelaide,Australia,FALSE,city filled from sibling rows (Adelaide)
Lord's,London,39,96,2018-05-31,"Lord's, London",London,England,FALSE,
"Riverside Ground, Chester-le-Street",Chester-le-Street,39,1054,2023-08-30,"Riverside Ground, Chester-le-Street",Chester-le-Street,England,FALSE,
Singapore National Cricket Ground,Singapore,39,2145,2025-02-28,Singapore National Cricket Ground,Singapore,Singapore,FALSE,
"University Oval, Dunedin",Dunedin,39,986,2023-04-05,University Oval (Dunedin),Dunedin,New Zealand,FALSE,
County Ground,Hove,38,4989,2012-09-15,County Ground (Hove),Hove,England,FALSE,"ambiguous venue name across cities ['Bristol', 'Chelmsford', 'Derby', 'Hove', 'Northampton', 'Taunton'] — paren-disambiguate"
National Stadium,Karachi,38,90,2018-04-01,National Stadium (Karachi),Karachi,Pakistan,FALSE,"ambiguous venue name across cities ['Hamilton', 'Karachi'] — paren-disambiguate"
"The Wanderers Stadium, Johannesburg",Johannesburg,38,434,2021-04-10,Wanderers Stadium,Johannesburg,South Africa,FALSE,
County Ground,Derby,37,3547,2020-09-21,County Ground (Derby),Derby,England,FALSE,"ambiguous venue name across cities ['Bristol', 'Chelmsford', 'Derby', 'Hove', 'Northampton', 'Taunton'] — paren-disambiguate"
"County Ground, Bristol",Bristol,37,607,2022-07-27,County Ground (Bristol),Bristol,England,FALSE,
"Eden Park Outer Oval, Auckland",Auckland,37,9935,2021-12-20,Eden Park Outer Oval,Auckland,New Zealand,FALSE,
"St Lawrence Ground, Canterbury",Canterbury,37,4093,2024-07-11,"St Lawrence Ground, Canterbury",Canterbury,England,FALSE,
"County Ground, Northampton",Northampton,36,3564,2021-07-09,County Ground (Northampton),Northampton,England,FALSE,
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,36,470,2021-07-09,"Daren Sammy National Cricket Stadium, Gros Islet",Gros Islet,Saint Lucia,FALSE,
"Kensington Oval, Bridgetown, Barbados",Bridgetown,36,444,2022-01-22,"Kensington Oval, Bridgetown",Bridgetown,Barbados,FALSE,
Kerava National Cricket Ground,Kerava,36,537,2021-08-21,Kerava National Cricket Ground,Kerava,Finland,FALSE,country unknown — please fill; country filled via research (Finland)
North Sydney Oval,Sydney,36,3242,2017-11-17,"North Sydney Oval, Sydney",Sydney,Australia,FALSE,prefix of 'North Sydney Oval No.2' — verify whether to merge or keep separate; keep separate from North Sydney Oval No.2 — sibling pitch
"Punjab Cricket Association Stadium, Mohali",Chandigarh,36,2900,2009-12-12,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,FALSE,
Shere Bangla National Stadium,Mirpur,36,2951,2011-10-11,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,FALSE,"ambiguous venue name across cities ['Dhaka', 'Mirpur'] — paren-disambiguate; collapse to canonical; Mirpur = neighborhood of Dhaka"
"Brabourne Stadium, Mumbai",Mumbai,35,3893,2022-12-14,"Brabourne Stadium, Mumbai",Mumbai,India,FALSE,
"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,35,3322,2018-11-12,"Daren Sammy National Cricket Stadium, Gros Islet",Gros Islet,Saint Lucia,FALSE,country unknown — please fill; country filled via research (Saint Lucia)
"Grace Road, Leicester",Leicester,35,8780,2021-06-11,"Grace Road, Leicester",Leicester,England,FALSE,
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,35,4334,2024-06-24,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,FALSE,
Manuka Oval,Canberra,35,174,2019-11-05,"Manuka Oval, Canberra",Canberra,Australia,FALSE,
Rangiri Dambulla International Stadium,Dambulla,35,1964,2024-10-13,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,FALSE,
Sano International Cricket Ground,Sano,35,1050,2022-10-10,Sano International Cricket Ground,Sano,Japan,FALSE,prefix of 'Sano International Cricket Ground 2' — verify whether to merge or keep separate; country unknown — please fill; keep separate from ...Ground 2
Seddon Park,Hamilton,35,29,2018-02-18,"Seddon Park, Hamilton",Hamilton,New Zealand,FALSE,
"County Ground, New Road, Worcester",Worcester,34,3683,2022-07-23,New Road (Worcester),Worcester,England,FALSE,
"Junction Oval, Melbourne",Melbourne,34,6891,2022-01-02,"Junction Oval, Melbourne",Melbourne,Australia,FALSE,
"North Sydney Oval, Sydney",Sydney,34,3889,2023-01-24,"North Sydney Oval, Sydney",Sydney,Australia,FALSE,
"Seddon Park, Hamilton",Hamilton,34,1339,2024-01-14,"Seddon Park, Hamilton",Hamilton,New Zealand,FALSE,
"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,34,699,2021-11-08,"Sir Vivian Richards Stadium, North Sound",North Sound,Antigua and Barbuda,FALSE,
"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,34,10939,2016-11-20,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,FALSE,
Basin Reserve,Wellington,33,3470,2020-02-09,"Basin Reserve, Wellington",Wellington,New Zealand,FALSE,
"Brian Lara Stadium, Tarouba",Trinidad,33,3342,2018-09-28,"Brian Lara Stadium, Tarouba",Tarouba,Trinidad and Tobago,FALSE,country unknown — please fill; country filled via research (Trinidad and Tobago)
"Gymkhana Club Ground, Nairobi",Nairobi,33,1018,2022-08-25,Gymkhana Club Ground (Nairobi),Nairobi,Kenya,FALSE,
Kingsmead,Durban,33,197,2020-02-14,"Kingsmead, Durban",Durban,South Africa,FALSE,
Kinrara Academy Oval,Kuala Lumpur,33,202,2019-06-24,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,FALSE,
Lalbhai Contractor Stadium,,33,10321,2019-02-21,Lalbhai Contractor Stadium,Surat,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Surat, country=India)"
New Wanderers Stadium,Johannesburg,33,2758,2005-10-21,Wanderers Stadium,Johannesburg,South Africa,FALSE,
R Premadasa Stadium,Colombo,33,43,2017-04-04,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,FALSE,
"Scott Page Field, Vinor",Prague,33,484,2021-05-21,"Scott Page Field, Vinor",Prague,Czech Republic,FALSE,country unknown — please fill; country filled via research (Czech Republic)
Sydney Cricket Ground,,33,24,2018-02-03,Sydney Cricket Ground,Sydney,Australia,FALSE,city filled from sibling rows (Sydney)
"Gahanga B Ground, Rwanda",Kigali City,32,4312,2024-06-02,"Gahanga B Ground, Rwanda",Kigali,Rwanda,FALSE,country unknown — please fill; country filled via research (Rwanda)
"ICC Academy, Dubai",Dubai,32,634,2021-10-09,"ICC Academy, Dubai",Dubai,United Arab Emirates,FALSE,
Terdthai Cricket Ground,Bangkok,32,382,2020-02-29,"Terdthai Cricket Ground, Bangkok",Bangkok,Thailand,FALSE,
Western Australia Cricket Association Ground,Perth,32,2796,2007-12-11,"Western Australia Cricket Association Ground, Perth",Perth,Australia,FALSE,
"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,31,752,2022-10-30,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,FALSE,
Eden Park Outer Oval,Auckland,31,9772,2017-12-13,Eden Park Outer Oval,Auckland,New Zealand,FALSE,
Newlands,Cape Town,31,75,2018-02-24,"Newlands, Cape Town",Cape Town,South Africa,FALSE,
"St George's Park, Gqeberha",Gqeberha,31,1333,2023-12-12,"St George's Park, Gqeberha",Gqeberha,South Africa,FALSE,
"Wanderers Cricket Ground, Windhoek",Windhoek,31,453,2021-04-05,Wanderers Cricket Ground,Windhoek,Namibia,FALSE,
Wankhede Stadium,,31,10455,2019-11-08,"Wankhede Stadium, Mumbai",Mumbai,India,FALSE,city filled from sibling rows (Mumbai)
"Bay Oval, Mount Maunganui",Mount Maunganui,30,976,2022-11-20,"Bay Oval, Mount Maunganui",Mount Maunganui,New Zealand,FALSE,
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,30,619,2022-02-24,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,FALSE,
Gelephu International Cricket Ground,Gelephu,30,1974,2024-10-19,Gelephu International Cricket Ground,Gelephu,Bhutan,FALSE,country unknown — please fill; country filled via research (Bhutan)
"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,30,3788,2022-09-18,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,FALSE,
"Willowmoore Park, Benoni",Benoni,30,1028,2022-09-15,"Willowmoore Park, Benoni",Benoni,South Africa,FALSE,
Arun Jaitley Stadium,,29,10242,2018-01-08,"Arun Jaitley Stadium, Delhi",Delhi,India,FALSE,city filled from sibling rows (Delhi)
"County Ground, Derby",Derby,29,3684,2022-07-25,County Ground (Derby),Derby,England,FALSE,
Holkar Stadium,,29,10323,2019-02-21,Holkar Stadium,Indore,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Indore, country=India)"
"Sabina Park, Kingston",Jamaica,29,50,2017-07-09,"Sabina Park, Kingston",Kingston,Jamaica,FALSE,country unknown — please fill; country filled via research (Jamaica)
"Docklands Stadium, Melbourne",Melbourne,28,6864,2021-12-07,"Docklands Stadium, Melbourne",Melbourne,Australia,FALSE,
Gaddafi Stadium,Lahore,28,58,2017-09-12,"Gaddafi Stadium, Lahore",Lahore,Pakistan,FALSE,
"St Albans Club, Buenos Aires",Buenos Aires,28,1180,2023-02-21,"St Albans Club, Buenos Aires",Buenos Aires,Argentina,FALSE,country unknown — please fill; country filled via research (Argentina)
Asian Institute of Technology Ground,Bangkok,27,3241,2016-12-04,"Asian Institute of Technology Ground, Bangkok",Bangkok,Thailand,FALSE,
"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,27,863,2022-07-29,"Brian Lara Stadium, Tarouba",Tarouba,Trinidad and Tobago,FALSE,
Eden Park,Auckland,27,11,2017-02-17,"Eden Park, Auckland",Auckland,New Zealand,FALSE,prefix of 'Eden Park Outer Oval' — verify whether to merge or keep separate; keep separate from Eden Park Outer Oval
Mulpani Cricket Ground,Kathmandu,27,1439,2023-10-18,Mulpani Cricket Ground,Kathmandu,Nepal,FALSE,
"Buffalo Park, East London",East London,26,3879,2023-01-19,"Buffalo Park, East London",East London,South Africa,FALSE,
Hagley Oval,Christchurch,26,215,2019-11-01,"Hagley Oval, Christchurch",Christchurch,New Zealand,FALSE,
"Karen Rolton Oval, Adelaide",Adelaide,26,12142,2021-11-06,"Karen Rolton Oval, Adelaide",Adelaide,Australia,FALSE,
"New Wanderers Stadium, Johannesburg",Johannesburg,26,12563,2016-11-12,Wanderers Stadium,Johannesburg,South Africa,FALSE,
Sylhet Stadium,,26,3068,2014-03-17,Sylhet Stadium,Sylhet,Bangladesh,FALSE,city filled from sibling rows (Sylhet)
"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,26,1420,2023-10-04,"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Nigeria,FALSE,
"Western Australia Cricket Association Ground, Perth",Perth,26,12140,2021-11-03,"Western Australia Cricket Association Ground, Perth",Perth,Australia,FALSE,
Central Broward Regional Park Stadium Turf Ground,Lauderhill,25,19,2016-08-27,Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA,FALSE,
"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,25,3891,2022-12-09,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India,FALSE,"ambiguous venue name across cities ['Mumbai', 'Navi Mumbai'] — paren-disambiguate; country unknown — please fill"
"Jimmy Powell Oval, Cayman Islands",George Town,25,2199,2025-04-19,"Jimmy Powell Oval, Cayman Islands",George Town,Cayman Islands,FALSE,country unknown — please fill; country filled via research (Cayman Islands)
Junction Oval,Melbourne,25,3405,2020-02-27,"Junction Oval, Melbourne",Melbourne,Australia,FALSE,
"United Cricket Club Ground, Windhoek",Windhoek,25,813,2022-04-08,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,FALSE,
W.A.C.A. Ground,Perth,25,3398,2020-02-22,W.A.C.A. Ground,Perth,Australia,FALSE,
Yeonhui Cricket Ground,Incheon,25,3507,2019-09-19,"Yeonhui Cricket Ground, Incheon",Incheon,South Korea,FALSE,country unknown — please fill; country filled via research (South Korea)
Barabati Stadium,,24,10325,2019-02-21,"Barabati Stadium, Cuttack",Cuttack,India,FALSE,city filled from sibling rows (Cuttack)
C B Patel Ground,,24,10322,2019-02-21,C B Patel Ground,Surat,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Surat, country=India)"
"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,24,3672,2022-01-18,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,FALSE,
Maharashtra Cricket Association Stadium,Pune,24,354,2020-01-10,"Maharashtra Cricket Association Stadium, Pune",Pune,India,FALSE,
"Nigeria Cricket Federation Oval 1, Abuja",Abuja,24,2037,2024-11-28,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,Nigeria,FALSE,
SuperSport Park,Centurion,24,74,2018-02-21,"SuperSport Park, Centurion",Centurion,South Africa,FALSE,
Bay Oval,Mount Maunganui,23,9,2017-01-06,"Bay Oval, Mount Maunganui",Mount Maunganui,New Zealand,FALSE,
Carrara Oval,Carrara,23,858,2022-10-05,Carrara Oval,Carrara,Australia,FALSE,country unknown — please fill; country filled via research (Australia)
